"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,990.15,26046.2,22773.45,-3272.75,-12.57,-0.94,""
"HDFCBANK",6,716.85,990.4,4301.1,5942.4,1641.3,38.16,-0.67,""
"IRFC",27,146.85,112.25,3964.95,3030.75,-934.2,-23.56,-1.28,""
"JSWENERGY",1,728.7,451.05,728.7,451.05,-277.65,-38.1,-0.12,""
"NHPC",13,89.95,76.86,1169.35,999.18,-170.17,-14.55,0.51,""
"TATASTEEL",30,164.85,162,4945.5,4860,-85.5,-1.73,0.83,""
"TMCV",10,239.54,378,2395.44,3780,1384.57,57.8,1.2,""
"TMPV",10,529.46,342.5,5294.57,3425,-1869.56,-35.31,-0.64,""
"UJJIVANSFB",6,44.82,53.25,268.92,319.5,50.58,18.81,1.54,""
"VIKASLIFE",159,4.94,1.82,785.36,289.38,-495.98,-63.15,-0.55,""
