"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,993.8,26046.2,22857.4,-3188.8,-12.24,-2.35,""
"HDFCBANK",6,716.85,1003.1,4301.1,6018.6,1717.5,39.93,-0.02,""
"IRFC",27,146.85,111.45,3964.95,3009.15,-955.8,-24.11,-2.75,""
"JPASSOCIAT",30,16.25,4.2,487.61,126,-361.61,-74.16,5,""
"JSWENERGY",1,728.7,453.85,728.7,453.85,-274.85,-37.72,-1.75,""
"NHPC",13,89.95,76.43,1169.35,993.59,-175.76,-15.03,-0.87,""
"TATASTEEL",30,164.85,163.47,4945.5,4904.1,-41.4,-0.84,-2.18,""
"TMCV",10,239.54,360.35,2395.44,3603.5,1208.07,50.43,0.22,""
"TMPV",10,529.46,348.3,5294.57,3483,-1811.56,-34.22,-1.5,""
"UJJIVANSFB",6,44.82,51.94,268.92,311.64,42.72,15.89,-2.73,""
"VIKASLIFE",159,4.94,1.78,785.36,283.02,-502.34,-63.96,-3.26,""
